"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","0","11","0","6195","19"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","0","8","0","5334","20"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","11","1","7582","1"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","10","1","6602","2"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","18","1","13361","3"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","15","1","11302","4"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","18","1","15629","5"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","25","1","19880","6"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","17","1","12222","7"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","31","1","21096","8"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","16","1","12298","9"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","24","1","17573","10"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","20","1","14152","11"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","18","1","13741","12"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","8","1","6881","13"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","8","1","6786","14"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","17","1","11695","15"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","9","1","7664","16"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","14","1","9751","17"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","24","1","18279","18"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","16","1","12737","19"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","1","20","1","16079","20"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","22","0","14502","1"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","28","0","16065","2"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","34","0","19202","3"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","13","0","10426","4"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","41","0","24945","5"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","18","0","11900","6"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","19","0","11095","7"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","40","0","21538","8"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","14","0","9802","9"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","22","0","16297","10"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","20","0","12920","11"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","28","0","18609","12"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","35","0","20568","13"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","11","0","8018","14"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","38","0","22465","15"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","11","0","8791","16"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","21","0","12832","17"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","8","0","5702","18"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","33","0","20279","19"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","2","16","0","12841","20"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","32","1","21314","1"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","24","1","16755","2"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","23","1","15938","3"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","22","1","14692","4"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","16","1","10856","5"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","39","1","28593","6"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","31","1","21625","7"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","17","1","13026","8"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","25","1","17522","9"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","24","1","16119","10"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","26","1","20870","11"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","19","1","15601","12"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","16","1","12000","13"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","15","1","10360","14"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","14","1","13484","15"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","31","1","22660","16"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","31","1","21510","17"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","14","1","12964","18"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","31","1","23528","19"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","3","29","1","21121","20"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","30","0","17013","1"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","28","0","15811","2"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","23","0","15622","3"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","37","0","20482","4"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","23","0","14304","5"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","25","0","13665","6"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","15","0","8404","7"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","17","0","12376","8"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","24","0","13140","9"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","35","0","20203","10"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","23","0","13239","11"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","13","0","8590","12"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","24","0","16720","13"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","24","0","15222","14"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","13","0","7658","15"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","14","0","8696","16"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","9","0","5394","17"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","42","0","25999","18"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","11","0","7210","19"
"3JNQLM5FT4NQ0JIS68UZO3OVDYR2LG","4","20","0","11285","20"
